RegExTimes AutomataTimes FlexTimes
10239400 7977800 1683400
10257600 7994900 1687200
10284200 8006800 1689800
10323500 8018800 1692500
10348700 8031500 1695000
10385300 8048800 1699300
10404400 8068900 1703800
10418300 8080600 1707000
10432200 8092400 1709600
10447900 8110700 1713800
10466700 8127500 1717600
10485700 8143100 1720900
10511300 8170800 1726400
10524800 8183800 1729000
10541400 8197800 1732400
10565300 8221000 1737500
10579900 8233200 1740600
10595700 8249600 1744000
10610300 8261400 1746300
10626800 8274600 1749200
10642600 8291100 1752900
10657700 8303100 1755600
10674300 8317600 1763400
10690800 8334000 1768200
10704800 8346200 1770500
10725800 8367800 1775500
10739800 8379700 1778700
10754200 8391100 1781000
10771000 8406900 1784900
10785300 8418700 1787400
10807500 8439100 1791700
10821700 8451800 1794600
10836900 8464700 1797500
10872700 8591100 1801900
10901800 8604000 1804300
10923800 8620700 1807700
10937900 8632600 1810300
10953300 8644700 1813000
10977200 8662100 1817200
10991500 8675300 1819400
11006700 8687800 1821900
11023000 8701700 1825300
11037200 8714100 1828700
11053400 8734000 1833400
11068600 8746200 1835800
11084500 8762300 1839500
11099800 8774700 1842400
11122600 8794300 1846600
11138800 8811300 1850000
11152500 8822700 1852700
11167800 8835000 1855500
11184100 8854800 1860400
11197900 8866900 1863900
11213400 8882300 1867500
11229000 8899500 1871200
11245600 8913400 1874400
11259400 8925300 1877500
11273300 8937300 1880300
11289800 8956600 1885300
11307900 8971700 1888900
11324500 8987400 1891800
11341500 9001800 1895100
11355400 9016000 1897300
11376200 9042700 1901400
11397900 9072100 1905900
11412600 9086900 1908300
11428900 9106700 1911400
11444700 9131000 1916100
11458800 9146000 1918700
11477100 9166300 1922300
11495300 9187900 1926100
11509200 9203400 1928500
11525900 9225800 1932500
11541800 9245500 1935500
11555600 9260000 1937600
11583100 9306600 1945300
11596800 9322400 1948200
11613500 9343800 1952800
11629900 9362900 1956800
11647700 9382800 1960800
11663200 9404300 1964300
11680300 9419100 1968000
11700600 9437500 1971800
11718600 9452200 1975600
11735100 9479300 1979100
11749600 9497800 1981800
11766400 9517200 1985500
11782800 9532000 1987900
11797300 9545000 1990600
11812300 9559100 1993700
11845000 9572600 1996800
11892000 9598400 2001000
11920500 9620600 2004700
11950800 9639300 2008300
11992700 9670000 2014400
12016000 9684100 2016800
12040200 9700600 2019700
12090900 9715100 2022600
12123800 9730000 2025800
12145700 9743400 2028700
12170800 9759800 2032200
12195700 9783600 2036600
12216000 9798300 2039400
12238500 9812300 2041600
12271300 9835500 2046000
12298500 9853700 2062100
12326800 9867000 2067100
12342700 9881400 2089500
12356500 9894800 2093900
12372000 9908900 2097500
12386100 9922800 2106200
12400100 9935900 2116900
12413800 9948600 2122800
12427600 9961900 2129100
12449900 9989700 2145200
12466400 10008600 2155000
12480500 10021900 2161000
12504100 10042500 2173100
12518200 10058600 2188800
12534100 10077000 2218900
12549600 10090500 2237500
12571300 10116000 2255400
12588400 10133900 2266600
12602500 10147400 2272900
12616300 10159800 2277700
12632700 10175000 2285600
12661600 10210500 2304500
12682400 10233900 2315700
12697100 10248100 2322900
12721300 10276400 2335400
12747300 10356700 2358100
12761200 10369300 2365300
12804300 10387300 2377200
12848200 10402600 2383100
12873300 10425900 2388700
12893700 10450600 2396900
12907500 10464900 2403000
12923900 10481900 2419200
12937600 10495600 2426200
12953600 10515800 2435700
12967600 10529200 2441100
12981100 10542400 2445900
12994900 10556200 2452000
13015200 10577000 2461200
13031800 10603400 2471700
13047100 10618400 2479800
13066300 10637700 2489500
13083000 10654200 2496500
13099200 10671000 2504500
13114600 10684200 2509600
13128900 10697700 2514900
13142900 10710800 2520200
13167100 10733600 2528800
13181300 10747500 2534000
13197600 10773800 2540100
13211700 10792300 2546600
13233300 10816100 2556600
13247400 10827700 2561600
13262200 10838400 2565900
13279100 10852100 2572000
13294600 10863300 2576700
13309400 10874900 2581000
13330200 10892500 2589900
13346900 10913600 2600400
13361200 10926600 2605400
13375100 10939200 2611500
13388600 10951800 2617300
13402700 10964200 2622000
13416800 10977200 2627800
13434200 10992700 2634700
13454500 11004900 2639700
13486500 11021500 2647200
13521100 11039200 2656200
13556800 11063600 2665400
13587900 11080400 2671900
13612500 11097100 2682000
13632600 11109400 2687800
13651800 11121800 2693500
13671500 11134500 2698900
13695200 11152500 2706600
13714900 11165400 2711500
13755000 11182600 2719700
13776700 11199200 2725900
13794800 11211600 2730000
13814600 11224900 2735400
13834200 11237900 2741100
13852000 11251300 2746100
13873200 11266900 2752600
13894400 11286800 2761500
13913100 11300100 2766600
13952600 11328600 2775100
13983800 11346800 2780200
14004000 11360100 2787000
14022600 11372600 2791700
14043600 11385800 2797800
14064900 11403600 2805000
14086800 11422400 2812900
14115500 11442100 2820800
14142700 11460900 2828200
14162000 11475400 2832600
14183800 11493900 2839700
14205100 11514700 2845500
14223800 11526900 2850300
14242500 11546100 2856100
14260900 11559900 2862200
14280300 11574700 2867500
14300800 11588000 2872700
14324400 11603700 2879000
14347700 11621800 2886400
14366100 11635700 2891000
14403200 11669900 2906400
14421300 11685300 2911500
14439700 11697700 2917700
14461200 11718600 2923700
14485300 11735400 2930800
14507200 11757300 2938600
14528200 11773200 2944900
14546500 11786000 2951200
14567000 11799500 2956400
14590000 11819200 3097600
14624600 11832000 3102400
14647500 11851500 3112400
14666500 11865400 3117400
14688400 11886400 3124400
14716200 11899600 3128300
14734300 11913000 3132400
14755900 11932000 3139000
14777300 11949500 3144700
14795300 11963000 3148600
14813800 11978500 3153700
14836300 12002000 3160700
14860000 12115600 3166800
14884000 12180200 3172900
14907700 12204700 3179900
14940600 12218400 3184000
14975200 12245400 3192300
15010300 12266700 3200200
15034800 12281500 3205300
15057600 12300300 3211400
15081200 12319700 3219100
15104700 12336400 3224700
15127300 12351900 3230100
15154100 12363800 3233800
15173700 12374300 3237400
15200400 12386700 3240600
15219400 12398700 3243200
15233900 12410600 3246700
15247600 12422500 3248900
15264300 12438700 3253700
15278900 12450500 3256500
15297600 12464500 3260500
15314500 12478800 3264600
15328500 12490900 3267100
15342200 12501400 3269700
15355800 12511700 3272300
15369300 12522200 3274900
15385600 12538600 3280200
15399400 12549300 3283300
15415500 12561900 3286400
15431600 12576100 3290700
15445500 12587900 3293100
15463600 12607200 3296200
15480200 12635100 3299400
15497500 12659300 3304500
15513600 12677000 3308200
15529900 12697900 3312200
15543900 12710500 3314800
15557600 12723800 3317800
15571600 12738200 3320400
15585800 12753100 3323100
15602500 12770800 3326200
15623600 12796500 3330300
15640100 12819100 3333300
15655600 12862500 3337100
15692700 12884800 3339600
15729200 12903300 3342400
15747500 12916600 3344700
15761600 12929700 3347300
15775900 12942100 3349700
15794100 12961100 3353800
15810900 12979600 3357600
15829400 12996700 3360800
15845900 13014300 3365100
15859600 13028200 3367700
15875500 13043400 3370200
15891300 13058400 3372700
15907900 13085500 3379100
15928900 13113600 3383400
15943000 13128200 3385500
15959100 13146100 3388700
15980300 13170400 3393400
16007400 13208800 3409200
16025600 13230500 3412700
16040900 13245500 3415200
16054600 13260000 3418200
16068400 13274900 3421400
16090200 13301300 3425600
16107100 13324000 3429700
16123500 13342900 3433200
16137400 13357900 3437200
16151300 13371500 3440300
16167800 13388800 3443500
16185600 13410000 3446700
16200900 13425800 3449600
16214700 13439800 3452500
16228500 13455100 3455000
16242700 13470200 3458700
16261100 13488100 3461800
16283400 13507700 3465700
16299800 13526500 3468700
16325900 13558400 3472700
16342800 13577100 3475300
16359800 13595400 3478900
16376100 13617000 3482200
16395200 13638700 3486100
16414100 13658000 3489700
16437400 13692700 3495500
16460500 13717800 3500700
16475100 13732500 3503600
16491400 13756400 3507700
16507300 13777100 3511900
16523800 13825900 3515700
16539200 13841700 3518400
16558100 13863800 3522600
16577500 13883700 3535100
16591200 13898600 3539300
16611000 13921800 3546500
16642700 13946000 3550700
16675800 13963800 3554600
16693600 13982700 3557800
16715200 14008400 3562400
16735200 14034400 3567300
16764600 14075000 3576900
16778700 14091700 3579700
16792600 14106600 3582500
16806500 14121800 3585200
16821900 14135900 3588100
16846300 14160900 3593200
16860800 14173300 3596100
16875600 14189000 3598500
16891500 14208500 3601800
16905600 14223100 3604600
16919300 14238100 3607600
16936100 14262100 3612100
16950200 14275700 3614500
16970200 14297300 3617900
16987800 14314200 3621700
17013200 14337800 3625900
17036100 14370400 3632200
17055700 14389700 3636900
17069600 14403000 3639200
17083400 14416000 3642000
17096900 14429700 3645000
17112600 14450100 3649100
17134200 14474000 3653100
17151200 14495400 3657600
17165500 14509800 3659800
17179500 14525300 3662700
17193300 14539900 3665400
17215400 14569100 3670200
17240000 14584300 3672500
17254900 14599000 3674700
17268900 14614200 3677600
17282500 14628900 3680400
17299000 14648100 3683800
17338300 14663400 3687100
17359500 14678600 3689100
17374100 14747600 3692000
17388100 14765800 3694500
17405600 14787800 3698700
17422200 14807400 3701800
17438400 14825300 3705200
17453700 14840700 3707600
17467600 14854600 3709900
17483200 14878200 3713700
17497200 14892400 3717000
17512400 14906700 3720500
17526100 14951000 3723200
17539700 14975400 3725500
17555500 14999100 3729400
17569300 15013300 3732600
17597500 15032800 3734700
17616700 15049200 3737900
17630700 15062200 3740600
17653200 15097200 3744700
17691200 15123400 3750100
17707800 15138600 3753400
17727900 15153300 3757600
17743900 15166900 3761300
17760000 15185400 3764800
17786600 15227500 3771300
17802800 15247800 3774200
17818900 15359700 3777400
17832500 15373100 3780300
17851000 15388100 3783700
17869400 15402200 3787400
17883200 15417800 3789600
17899200 15440500 3793700
17913000 15455700 3796700
17938500 15487400 3800900
17954900 15506800 3803700
17978300 15553600 3809900
17997900 15578000 3813800
18012200 15594400 3816500
18026200 15611000 3819200
18042900 15629800 3822900
18059400 15642500 3825700
18083600 15675500 3831400
18099200 15690200 3834600
18113300 15703000 3837700
18133100 15719900 3880900
18146800 15732100 3885100
18160700 15744000 3888500
18177100 15764100 3893000
18202800 15794900 3900100
18216600 15808400 3902700
18230800 15821200 3905600
18246100 15834300 3907600
18266600 15850400 3911200
18283000 15865000 3914800
18298000 15877300 3917100
18311800 15889500 3919700
18325700 15901600 3922700
18339300 15913500 3924800
18355700 15930800 3928500
18369600 15942800 3931800
18383300 15955600 3934200
18398500 15972400 3936300
18412100 15984500 3938000
18435300 16019300 3942700
18449900 16040500 3945800
18470800 16063400 3948500
18488600 16082900 3951800
18505200 16104800 3956900
18535300 16128200 3962000
18549300 16140500 3964500
18587900 16158400 3969400
18641500 16175500 3972700
18673600 16192900 3976900
18708700 16212700 3981200
18738100 16229700 3985100
18763100 16241400 3988000
18791800 16256100 3991000
18811300 16268400 3993600
18836900 16283800 3997200
18860500 16298700 4000300
18884400 16318200 4004800
18907300 16335700 4009300
18932800 16351500 4012500
18958600 16368900 4016300
18994900 16390900 4020600
19019300 16408300 4024900
19039900 16420700 4027700
19060200 16442700 4030400
19087700 16465700 4034000
19107000 16480200 4037300
19129000 16499300 4040600
19155700 16521800 4043600
19186600 16534800 4046200
19219700 16548200 4049100
19244000 16560700 4052600
19269100 16578600 4056500
19286000 16602700 4060400
19300500 16617100 4063400
19323700 16640900 4067500
19337800 16657200 4070400
19352000 16672400 4072900
19365800 16687000 4075200
19381200 16700700 4077800
19397200 16716400 4081600
19411200 16727300 4084500
19424900 16738300 4087100
19441300 16757200 4091500
19463800 16778300 4096100
19493600 16789400 4098700
19513500 16800800 4101800
19545400 16812200 4104800
19570100 16824200 4108000
19589700 16839500 4111400
19604200 16852600 4113900
19619600 16865200 4117100
19633400 16877400 4119800
19648700 16889700 4122400
19665800 16903700 4125600
19682200 16922800 4129700
19698500 16939300 4133000
19719600 16958900 4137200
19734300 16972300 4139800
19754500 16991600 4143800
19768300 17003600 4146600
19797900 17037200 4154600
19823600 17062800 4159800
19837700 17076300 4163100
19851300 17088500 4165500
19865600 17100600 4168400
19887400 17121200 4172800
19905300 17137600 4176300
19924500 17154500 4179800
19941200 17174700 4190300
19957200 17187500 4193800
19971000 17199400 4196600
19987600 17214500 4200100
20012000 17236300 4205000
20028400 17254600 4208900
20046800 17273300 4212800
20060900 17285000 4215200
20076300 17297200 4218300
20102200 17327400 4226300
20119100 17355800 4229900
20133900 17368400 4232100
20150000 17386100 4236500
20166100 17405500 4241300
20179900 17417500 4244700
20196200 17432600 4248400
20212300 17447200 4251400
20226100 17458700 4254200
20240000 17470500 4257200
20261900 17490200 4261200
20277300 17504000 4263500
20292500 17516700 4265800
20307700 17529100 4268200
20322800 17541400 4270300
20338900 17560100 4274100
20354600 17572700 4276600
20370100 17585100 4279600
20384000 17597400 4283000
20398100 17609600 4285800
20414300 17621200 4287900
20431100 17636300 4291200
20447400 17651100 4293900
20461300 17662900 4296800
20476300 17674300 4299200
20557700 17689400 4303000
20591600 17708300 4308000
20618200 17722600 4310900
20642100 17735000 4313300
20662400 17746900 4316400
20694500 17766900 4320700
20714100 17779000 4322800
20736600 17795700 4326100
20759300 17814600 4330000
20781100 17830500 4332500
20803100 17849200 4335700
20825100 17866600 4338700
20859800 17905800 4345100
20877600 17921400 4348400
20895900 17936000 4351300
20916300 17951500 4353400
20943000 17973700 4357100
20961300 17988900 4359600
20986800 18016500 4364300
21004900 18031100 4367400
21028400 18051000 4370700
21062600 18088300 4376700
21085600 18112800 4380900
21108000 18137900 4385600
21129100 18155700 4388700
21150000 18174200 4392000
21168500 18186600 4394900
21186800 18198500 4397800
21205400 18209800 4400600
21241600 18230600 4404500
21263100 18262100 4407600
21285000 18282800 4410800
21306000 18301800 4414400
21327100 18334900 4417900
21348700 18350800 4420400
21375400 18367000 4424100
21394800 18378900 4427000
21420000 18398900 4430600
21440000 18413400 4433700
21461500 18431800 4437600
21483400 18450100 4441700
21505200 18465000 4445800
21859400 18479300 4449400
21882900 18490400 4452500
21920700 18517800 4459300
21940300 18532000 4462600
21959900 18544300 4465800
21985700 18565500 4473500
22017700 18578100 4476600
22036700 18590500 4479100
22060100 18607100 4482600
22081900 18619500 4489900
22105700 18639900 4497500
22126100 18652600 4503400
22169500 18686800 4517700
22189100 18701700 4523500
22210900 18715700 4528900
22236200 18733000 4626700
22272800 18753100 4632700
22291900 18766200 4638200
22316900 18825000 4647600
22348500 18861800 4658900
22372600 18893500 4727700
22393600 18912000 4735200
22416200 18929000 4741300
22445600 18952500 4751300
22465300 18964000 4758000
22521900 18983800 4766900
22544800 18997600 4776500
22568300 19013000 4785400
22592400 19040300 4794800
22617800 19059500 4798800
22638100 19073900 4801800
22664500 19094600 4806200
22690700 19112800 4810200
22724500 19136000 4814300
22749500 19156500 4818000
22770100 19171200 4820700
22793200 19189200 4824400
22813400 19203500 4826900
22833900 19219100 4829400
22857500 19237000 4834100
22881000 19253600 4837500
22923500 19414900 4846600
22947800 19474200 4851000
22971900 19506700 4853400
23004800 19556800 4858300
23037000 19608800 4862400
23072100 19655800 4866900
23103900 19702800 4872500
23125600 19726900 4875700
23185300 19756300 4878000
23219000 19786700 4880100
23241100 19817400 4883000
23264600 19848600 4885600
23369900 19934000 4889400
23393700 19956000 4891700
23409100 19975000 4895400
23423300 19991200 4898300
23446200 20015700 4902000
23462200 20030900 4904100
23481000 20051000 4908200
23497300 20075500 4912100
23511100 20090400 4914900
23527400 20115700 4919400
23579800 20157500 4925800
23600200 20182900 4929800
23614300 20198500 4932700
23630600 20220500 4936100
23651400 20248200 4940200
23666900 20262700 4942700
23687400 20284500 4947200
23701500 20297500 4950400
23715300 20314600 4953100
23729000 20331400 4956000
23745500 20351600 4959700
23769900 20389900 4966100
23793400 20424000 4971900
23811400 20441100 4974900
23840900 20469400 4979100
23876300 20493000 4983600
23893600 20516200 4987600
23915200 20535800 4991100
23934800 20558300 4995100
23948900 20573000 4997700
23991700 20603700 5002900
24005800 20617400 5005900
24030300 20641400 5010200
24048100 20660700 5014000
24062100 20673800 5016100
24082800 20697700 5020300
24099000 20714700 5024000
24114100 20727800 5026900
24128300 20741200 5029800
24143600 20756400 5032600
24160000 20769900 5035300
24203700 20808900 5042500
24234100 20832800 5047600
24249400 20847400 5049900
24263200 20862200 5052900
24286900 20895200 5058500
24306000 20917700 5061300
24324200 20941500 5064600
24338000 20956300 5066900
24351600 20971000 5069700
24365300 20984400 5072800
24379100 20999100 5075700
24414500 21014600 5077700
24447400 21035000 5081400
24469400 21049400 5084100
24495200 21065800 5086600
24528400 21174100 5090400
24544400 21194500 5092800
24566900 21215200 5097200
24608000 21230900 5100400
24624500 21244600 5103500
24641200 21259000 5107000
24654900 21269700 5109500
24668600 21280300 5112200
24694400 21304300 5118200
24710800 21317000 5121300
24727300 21333300 5125600
24743100 21346400 5128300
24760100 21358700 5131900
24774900 21369800 5134900
24793200 21383500 5138400
24809300 21398900 5143300
24824600 21409900 5146200
24845200 21428200 5151000
24859000 21438900 5153800
24875300 21454300 5157800
24888800 21464700 5160100
24902600 21475400 5162600
24919100 21489400 5166300
24935500 21503300 5169500
24952100 21518500 5177400
24966400 21529800 5182700
24980300 21540800 5196500
24996400 21553800 5201100
25015400 21567500 5204800
25029600 21578200 5208000
25052600 21595800 5212900
25068100 21617000 5215600
25083000 21629300 5219100
25099400 21642300 5221800
25115800 21655100 5225100
25139700 21686500 5230000
25163900 21712500 5237400
25197100 21728000 5242000
25212000 21738300 5244900
25228700 21752000 5248400
25248000 21765700 5251900
25270700 21783700 5257000
25288200 21796200 5260700
25302300 21808400 5265200
25316300 21818200 5269900
25333400 21832000 5276600
25347300 21842500 5281200
25369000 21853100 5285000
25387300 22043100 5289300
25401000 22060100 5293800
25414800 22069400 5297300
25431400 22082000 5302200
25448100 22094700 5307700
25464200 22107800 5311800
25493900 22122200 5317900
25514600 22133700 5322400
25529400 22144100 5327500
25545600 22155000 5332200
25561200 22165700 5335500
25579200 22175700 5338400
25601100 22186500 5342000
25619300 22200700 5348000
25634000 22210800 5351600
25648500 22220900 5355600
25662300 22231100 5360200
25676300 22241200 5363500
25690400 22251700 5367100
25707200 22264400 5370900
25721100 22274600 5374600
25735100 22284600 5378200
25761200 22313000 5389000
25775200 22324100 5393600
25792000 22336400 5398600
25806600 22346500 5403100
25820600 22355800 5407300
25834400 22365100 5410500
25850100 22374700 5414200
25864500 22384000 5417300
25888600 22406500 5425300
25903100 22419200 5428500
25927500 22444800 5436300
25941700 22460500 5439400
25961100 22478900 5445600
25977400 22510400 5450500
